410000015G04,A184 (E-Bound),twrdjdjg,A184,Outside Half Moon Hotel Public House,A184,E-Bound,E,Gateshead,,Gateshead
410000029134,Aldenham Road (S-Bound),twrgdwdj,Aldenham Road,Opposite Knightsbridge,Aldenham Road,S-Bound,S,Gilley Law,Sunderland,Gilley Law
410000029135,Aldenham Road (S-Bound),twrgdwdm,Aldenham Road,Outside Aldenham Tower,Aldenham Road,S-Bound,S,Gilley Law,Sunderland,Gilley Law
410000024915,Alexandra Avenue-Business Centre (W-Bound),twrgagjd,Alexandra Avenue-Business Centre,Outside Business And Innovation Centre,Alexandra Avenue,W-Bound,W,Enterprise Park,Sunderland,Enterprise Park
410000024912,Alexandra Avenue-North Quay Road (SE-Bound),twrgagdt,Alexandra Avenue-North Quay Road,60m West Opposite North Quay Road,Alexandra Avenue,SE-Bound,SE,Enterprise Park,Sunderland,Enterprise Park
410000024914,Alexandra Avenue-Nursery (E-Bound),twrgagja,Alexandra Avenue-Nursery,Opposite Nursery/business Innovation Centre,Alexandra Avenue,E-Bound,E,Enterprise Park,Sunderland,Enterprise Park
410000024913,Alexandra Avenue-West Quay Road (NW-Bound),twrgagdw,Alexandra Avenue-West Quay Road,45m East From Junction With West Quay Road,Alexandra Avenue,NW-Bound,NW,Enterprise Park,Sunderland,Enterprise Park
410000015953,Alexandra Road (N-Bound),twrgtjap,Alexandra Road,Outside Ta Centre,Alexandra Road,N-Bound,N,Shipcote,Gateshead,Shipcote
410000000115,All Saints College (S-Bound),twrgtwjw,All Saints College,All Saints College,N/a,S-Bound,S,West Denton,Newcastle upon Tyne,West Denton
410000029098,Allendale Road - Avonmouth Road (N-Bound),twrgdtjm,Allendale Road - Avonmouth Road,Opposite Aldershot Road,Allendale Road,N-Bound,N,Farringdon,,Farringdon
410000029097,Allendale Road (S-Bound),twrgdtjg,Allendale Road,Junction With Silksworth Road,Allendale Road,S-Bound,S,Farringdon,,Farringdon
410000029095,Allendale Road-Aberdare Road (SW-Bound),twrgdtja,Allendale Road-Aberdare Road,Opposite Social Club,Allendale Road,SW-Bound,SW,Farringdon,,Farringdon
410000029103,Allendale Road-Allendale Square (NE-Bound),twrgdtmd,Allendale Road-Allendale Square,Opposite Allendale Square Junction,Allendale Road,NE-Bound,NE,Farringdon,,Farringdon
410000029093,Allendale Road-Allendale Square (S-Bound),twrgdtgt,Allendale Road-Allendale Square,Opposite Abercorn Road Junction,Allendale Road,S-Bound,S,Farringdon,,Farringdon
410000029094,Allendale Road-Alnwick Road (S-Bound),twrgdtgw,Allendale Road-Alnwick Road,Opposite Farringdon Infants School,Allendale Road,S-Bound,S,Farringdon,,Farringdon
410000029101,Allendale Road-Anthony Road (NE-Bound),twrgdtjw,Allendale Road-Anthony Road,Outside Social Club,Allendale Road,NE-Bound,NE,Farringdon,,Farringdon
410000029102,Allendale Road-Archer Street (N-Bound),twrgdtma,Allendale Road-Archer Street,North Of Farringdon Infants School,Allendale Road,N-Bound,N,Farringdon,,Farringdon
410000029100,Allendale Road-Ashdown Road (NE-Bound),twrgdtjt,Allendale Road-Ashdown Road,Opposite Farringdon Comprehensive School,Allendale Road,NE-Bound,NE,Farringdon,,Farringdon
410000015902,Allendale Road-Dunstanburgh Road (S-Bound),twrdgwtw,Allendale Road-Dunstanburgh Road,Outside Community Centre,Allendale Road,S-Bound,S,Byker,Newcastle upon Tyne,Byker
410000029096,Allendale Road-School (SW-Bound),twrgdtjd,Allendale Road-School,Outside Farringdon Comprehensive School,Allendale Road,SW-Bound,SW,Farringdon,,Farringdon
410000013900,Aln Court - Wansbeck House (W-Bound),twrawgmt, Aln Court - Wansbeck House,Outside Wansbeck House,Aln Court,W-Bound,W,Lemington,Newcastle upon Tyne,Lemington
410000017211,Alston Crescent-Bampton Avenue (SE-Bound),twrdmtjg,Alston Crescent-Bampton Avenue,Outside Bampton Avenue,Alston Crescent,SE-Bound,SE,Seaburn Dene,,Seaburn Dene
410000017930,Alston Crescent-Dovedale Road (N-Bound),twrdmtpm,Alston Crescent-Dovedale Road,Opposite The Lane Arms Public House,Alston Crescent,N-Bound,N,Seaburn Dene,,Seaburn Dene
410000024140,Alston Crescent-Keswick Avenue (S-Bound),twrdwapg,Alston Crescent-Keswick Avenue,Outside Keswick Avenue Junction,Alston Crescent,S-Bound,S,Seaburn Dene,,Seaburn Dene
410000024918,Alston Crescent-Martindale Avenue (NW-Bound),twrgagjm,Alston Crescent-Martindale Avenue,Opposite Martindale Avenue,Alston Cresent,NW-Bound,NW,Seaburn Dene,,Seaburn Dene
410000017210,Alston Crescent-Number 164 (SE-Bound),twrdmtjd,Alston Crescent-Number 164,Outside No.164 Alston Crescent,Alston Crescent,SE-Bound,SE,Seaburn Dene,,Seaburn Dene
410000024920,Alston Crescent-Number 17 (NW-Bound),twrgagjt,Alston Crescent-Number 17,Outside No.17 Alston Crescent,Alston Crescent,NW-Bound,NW,Fulwell,,Fulwell
410000017931,Alston Crescent-Number 179 (NW-Bound),twrdmtpt,Alston Crescent-Number 179,Outside No.179 Alston Crescent,Alston Crescent,NW-Bound,NW,Seaburn Dene,,Seaburn Dene
410000024141,Alston Crescent-Number 20 (S-Bound),twrdwapj,Alston Crescent-Number 20,Outside No.20 Alston Crescent,Alston Crescent,S-Bound,S,Fulwell,,Fulwell
410000024919,Alston Crescent-Number 57 (N-Bound),twrgagjp,Alston Crescent-Number 57,Outside No.57 Alston Crescent,Alston Crescent,N-Bound,N,Seaburn Dene,,Seaburn Dene
410000010172,Alwinton Avenue (E-Bound),twratamg,Alwinton Avenue,West Of Morwick Road,Alwinton Avenue,E-Bound,E,Billy Mill,,Billy Mill
410000010178,Alwinton Avenue (N-Bound),twratapd,Alwinton Avenue,35m South Of The Brig Public House,Alwinton Avenue,N-Bound,N,Billy Mill,,Billy Mill
410000010171,Alwinton Avenue (S-Bound),twratamd,Alwinton Avenue,35m South Of The Brig Public House,Alwinton Avenue,S-Bound,S,Billy Mill,,Billy Mill
410000010177,Alwinton Avenue (W-Bound),twratapa,Alwinton Avenue,West Of Morwick Road,Alwinton Avenue,W-Bound,W,Billy Mill,,Billy Mill
410000014938,Alwinton Gardens (SE-Bound),twrgwdjg,Alwinton Gardens,Outside Cragside Gardens Junction,Alwinton Gardens,SE-Bound,SE,Lobley Hill,Gateshead,Lobley Hill
410000014929,Alwinton Gardens (W-Bound),twrdapgm,Alwinton Gardens,Outside No.23 Alwinton Gardens,Alwinton Gardens,W-Bound,W,Lobley Hill,Gateshead,Lobley Hill
410000042154,Anderson Street-Library (N-Bound),twrgmgwj,Anderson Street-Library,Outside Library And Roof Car Park,Anderson Street,N-Bound,N,South Shields,,South Shields
410000042155,Anderson Street-Ocean Road (S-Bound),twrgmgwm,Anderson Street-Ocean Road,Opposite The Denmark Centre,Anderson Street,S-Bound,S,South Shields,,South Shields
410000042153,Anderson Street-Synagogue (NW-Bound),twrgmgwg,Anderson Street-Synagogue,Outside The Synagogue,Anderson Street,NW-Bound,NW,South Shields,,South Shields
410000022052,Angel Of The North (NW-Bound),twrdpmpd,Angel Of The North,Opposite Eighton Lodge/outside Angel Ofthe North,Durham Road,NW-Bound,NW,Allerdene,Gateshead,Allerdene
410000022037,Angel Of The North (SE-Bound),twrdpmgd,Angel Of The North,Outside Eighton Lodge/opposite Angel Ofthe North,Durham Road,SE-Bound,SE,Allerdene,Gateshead,Allerdene
410000061236,Ann Street (NW-Bound),twrjamwd,Ann Street,Opposite St Andrew's Church,Ann Street,NW-Bound,NW,Hebburn,,Hebburn
410000029106,Antwerp Road (SE-Bound),twrgdtmp,Antwerp Road,Outside Alantis Road Leading To Library,Antwerp Road,SE-Bound,SE,Farringdon,,Farringdon
410000029105,Antwerp Road (SW-Bound),twrgdtmj,Antwerp Road,Outside Andrew Road Junction,Antwerp Road,SW-Bound,SW,Farringdon,,Farringdon
410000009325,Appletree Gardens-Benfield Road (NE-Bound),twramwtd,Appletree Gardens-Benfield Road,Outside Thistley Close,Appletree Gardens,NE-Bound,NE,Walkergate,Newcastle upon Tyne,Walkergate
410000009324,Appletree Gardens-Broomfield Avenue (SW-Bound),twramwta,Appletree Gardens-Broomfield Avenue,Opposite Broomfield Avenue Junction,Appletree Gardens,SW-Bound,SW,Walkergate,Newcastle upon Tyne,Walkergate
410000009323,Appletree Gardens-Ivy Road (SW-Bound),twramwpw,Appletree Gardens-Ivy Road,Opposite Library,Appletree Gardens,SW-Bound,SW,Walkergate,Newcastle upon Tyne,Walkergate
410000009326,Appletree Gardens-Laurel Crescent (NE-Bound),twramwtg,Appletree Gardens-Laurel Crescent,Northeast Of Library,Appletree Gardens,NE-Bound,NE,Walkergate,Newcastle upon Tyne,Walkergate
410000009327,Appletree Gardens-Logan Road (NE-Bound),twramwtj,Appletree Gardens-Logan Road,West Of Logan Road,Appletree Gardens,NE-Bound,NE,Walkerville,Newcastle upon Tyne,Walkerville
410000009322,Appletree Gardens-Logan Road (W-Bound),twramwpt,Appletree Gardens-Logan Road,West Of Logan Road,Appletree Gardens,W-Bound,W,Walkerville,Newcastle upon Tyne,Walkerville
410000000001,Archbishop Runcie C Of E First School (S-Bound),twrgtpjm,Archbishop Runcie C Of E First School,Outside Archbishop Runcie First School,Christon Road,S-Bound,S,Gosforth,Newcastle upon Tyne,Gosforth
410000010050,Archer Street-Ashbrook Gardens (W-Bound),twraptgp,Archer Street-Ashbrook Gardens,Opposite Boys Club,Archer Street,W-Bound,W,Rosehill,Wallsend,Rosehill
410000010026,Archer Street-Edward Road (E-Bound),twrapmwd,Archer Street-Edward Road,Outside Holy Cross Club,Archer Street,E-Bound,E,Rosehill,Wallsend,Rosehill
410000010025,Archer Street-Orde Avenue (E-Bound),twrapmwa,Archer Street-Orde Avenue,Junction With Orde Avenue,Archer Street,E-Bound,E,Rosehill,Wallsend,Rosehill
410000010806,Archer Street-Shafto Street (E-Bound),twrjapjm,Archer Street-Shafto Street,Outside Boys Club,Archer Street,E-Bound,E,Rosehill,Wallsend,Rosehill
410000010049,Archer Street-Shakespeare Street (W-Bound),twraptgm,Archer Street-Shakespeare Street,Opposite Club Next To Shakespeare Street,Archer Street,W-Bound,W,Rosehill,Wallsend,Rosehill
410000010024,Archer Street-War Memorial (E-Bound),twrapmtw,Archer Street-War Memorial,Opposite The War Memorial,Archer Street,E-Bound,E,Holy Cross,Wallsend,Holy Cross
410000016975,Argyle Street-Coquet Street (NE-Bound),twrdmdat,Argyle Street-Coquet Street,Opposite Coquet Street Junction,Argyle Street,NE-Bound,NE,Hebburn,,Hebburn
410000016036,Argyle Street-Coquet Street (SW-Bound),twrdjgtj,Argyle Street-Coquet Street,Outside Community Centre And Car Park,Argyle Street,SW-Bound,SW,Hebburn,,Hebburn
410000016009,Argyle Street-Holystone Street (NE-Bound),twrdjgpj,Argyle Street-Holystone Street,Outside St Cuthbert's Church,Argyle Street,NE-Bound,NE,Hebburn,,Hebburn
410000010504,Argyle Street-School (NE-Bound),twratgag,Argyle Street-School,Opposite Hebburn St Aloysius School,ARGYLE STREET,NE-Bound,NE,Hebburn,,Hebburn
410000010505,Argyle Street-School (W-Bound),twratgaj,Argyle Street-School,Outside Hebburn St Aloysius School,ARGYLE STREET,W-Bound,W,Hebburn,,Hebburn
410000008385,Arlington Avenue-Mornington Avenue (NW-Bound),twrajmtw,Arlington Avenue-Mornington Avenue,55m West Of The Peacock Public House,Arlington Avenue,NW-Bound,NW,Kenton,Newcastle upon Tyne,Kenton
410000008383,Arlington Avenue-Post Office (SE-Bound),twrajmtm,Arlington Avenue-Post Office,Opposite Post Office,Arlington Avenue,SE-Bound,SE,Kenton,Newcastle upon Tyne,Kenton
410000022928,Armstrong Industrial Estate (E-Bound),twrdtdwa,Armstrong Industrial Estate,Outside B&q,CRAGSIDE ROAD,E-Bound,E,Armstrong,Washington,Armstrong
410000014998,Armstrong Road - Atkinson Road (E-Bound),twrgwmpw, Armstrong Road - Atkinson Road,Atkinson Road/armstrong Road Junction,Armstrong Road,E-Bound,E,Benwell,Newcastle upon Tyne,Benwell
410000013522,Armstrong Road - Denton Road (E-Bound),twrawgjp,Armstrong Road - Denton Road,Outside Denton Road Infant School,Armstrong Road,E-Bound,E,Scotswood,Newcastle upon Tyne,Scotswood
410000022927,Armstrong Road (S-Bound),twrdtdtw,Armstrong Road,B&q Car Park Entrance,Access Road,S-Bound,S,Armstrong,Washington,Armstrong
410000022929,Armstrong Road (W-Bound),twrgtgpg,Armstrong Road,Outside Shop Units,Armstrong Road,W-Bound,W,Armstrong,Washington,Armstrong
410000014625,Armstrong Road-Atkinson Road (W-Bound),twrdajtj,Armstrong Road-Atkinson Road,Outside Atkinson Road Primary School,Armstrong Road,W-Bound,W,Benwell,Newcastle upon Tyne,Benwell
410000014624,Armstrong Road-Bishops Road (E-Bound),twrdajtg,Armstrong Road-Bishops Road,Opposite Atkinson Road Primary School,Armstrong Road,E-Bound,E,Benwell,Newcastle upon Tyne,Benwell
410000014620,Armstrong Road-Caroline Street (E-Bound),twrdajpt,Armstrong Road-Caroline Street,Opposite South Benwell Primary School,Armstrong Road,E-Bound,E,Benwell,Newcastle upon Tyne,Benwell
410000014621,Armstrong Road-Caroline Street (W-Bound),twrdajpw,Armstrong Road-Caroline Street,Outside South Benwell Primary School,Armstrong Road,W-Bound,W,Benwell,Newcastle upon Tyne,Benwell
410000014629,Armstrong Road-Cranbrook Road (W-Bound),twrdajwa,Armstrong Road-Cranbrook Road,Outside No.77 Armstrong Road,Armstrong Road,W-Bound,W,Scotswood,Newcastle upon Tyne,Scotswood
410000014628,Armstrong Road-Delaval Road (E-Bound),twrdajtw,Armstrong Road-Delaval Road,Outside Delaval Road Primary School,Armstrong Road,E-Bound,E,Scotswood,Newcastle upon Tyne,Scotswood
410000013521,Armstrong Road-Denton Road (W-Bound),twrawgjm,Armstrong Road-Denton Road,Opposite Denton Road Infant School,Armstrong Road,W-Bound,W,Scotswood,Newcastle upon Tyne,Scotswood
410000014623,Armstrong Road-Ethel Street (W-Bound),twrdajtd,Armstrong Road-Ethel Street,Outside Riverview Lodge,Armstrong Road,W-Bound,W,Benwell,Newcastle upon Tyne,Benwell
410000014626,Armstrong Road-Hodgkin Park Road (E-Bound),twrdajtm,Armstrong Road-Hodgkin Park Road,Outside Hodgkin Park,Armstrong Road,E-Bound,E,Benwell,Newcastle upon Tyne,Benwell
410000014999,Armstrong Road-Hodgkin Park Road (W-Bound),twrjatap,Armstrong Road-Hodgkin Park Road,Outside Hodgkin Park,Armstrong Road,W-Bound,W,Benwell,Newcastle upon Tyne,Benwell
410000014622,Armstrong Road-Hugh Gardens (E-Bound),twrdajta,Armstrong Road-Hugh Gardens,Outside Hugh Gardens,Armstrong Road,E-Bound,E,Benwell,Newcastle upon Tyne,Benwell
